rank,asin,title,price,rating,num_reviews,img_link
32,B0BQ1XYKHC,"Cecotec Freidora de Aire sin Aceite de 9 L Cecofry Dual 9000 Air Fryer. 2850 W, Digital y Compacta, Temperatura Dual, Tecnología PerfectCook, Opción de dividir la Cubeta en 2 de 4,5L, 6 Modos",0,4.6,10900,"https://images-eu.ssl-images-amazon.com/images/I/51T4552vLHL._AC_UL300_SR300,200_.jpg"
33,B09X5GL8SL,"Todocama – Juego de 2 Fundas de Almohada, Microfibra Extra Suave, hipoalergénicas. Juego de 2-90x40 cm Blanco",0,4.3,1099,"https://images-eu.ssl-images-amazon.com/images/I/51otCFVCjfL._AC_UL300_SR300,200_.jpg"
34,B07JN4TXC9,"Cecotec Estufa de Gas Butano Ready Warm 4000 Slim Fold. 4200 W, Plegable, Cerámica, 3 Modos, Bombonas de 15 kg, Triple sistema de seguridad, Ruedas multidireccionales, 30 m2 (Estufa)",0,4.0,6589,"https://images-eu.ssl-images-amazon.com/images/I/51bcEMVYFSL._AC_UL300_SR300,200_.jpg"
35,B0B4NY5NVP,"TEMOLA Aspirador De Mano Sin Cable, Aspirador Potente Portátil Recargable con Filtro HEPA, Mini Aspiradora De Mano Kit Accesorios de Limpieza para El Coche Mujeres Y Hombres",0,3.9,1899,"https://images-eu.ssl-images-amazon.com/images/I/61r-wzXKUsL._AC_UL300_SR300,200_.jpg"
36,B07CS8BYYV,"Tefal Daily Cook - Juego de 3 Sartenes de 20, 24 y 26 cm de acero inoxidable, antiadherentes, tecnología Thermospot, cocción uniforme, todo tipo cocinas, sin PFOA, color negro.",0,4.5,5999,"https://images-eu.ssl-images-amazon.com/images/I/718YxV32EVL._AC_UL300_SR300,200_.jpg"
37,B09HKXL6BM,"Cecotec Radiador Eléctrico de Aceite ReadyWarm 7000 Space. 7 Módulos, Bajo Consumo, 1500 W, 3 Niveles, Recogecables, Sistema de Seguridad, Ruedas, 15 m2",0,3.9,6090,"https://images-eu.ssl-images-amazon.com/images/I/51D5yTaMgVL._AC_UL300_SR300,200_.jpg"
38,B094Y16J1M,"Lifewit 3 Piezas Organizador Ropa, Cajas Almacenaje Ropa Plegable con Asa Reforzada, Bolsas para Guardar Ropa de Tejido Resistente y Ventana Transparente para Suéteres, Abrigos, Mantas, 35L, Gris",0,4.4,1444,"https://images-eu.ssl-images-amazon.com/images/I/81H5mObfbRL._AC_UL300_SR300,200_.jpg"
39,B08QHVCWLN,"LEFANT Robot Aspirador, Aspirador Robot 2000Pa Autocargable, Limpieza Zig-Zag, Delgado, Silencioso, Sensor de Anticolisión 6D Mejorado, App/Alexa Control, para Pelo de Mascotas y Suelos Duros, M210",0,4.4,9999,"https://images-eu.ssl-images-amazon.com/images/I/61ceYhi31sL._AC_UL300_SR300,200_.jpg"
40,B07KK7FZ15,"Utopia Bedding Edredón Acolchado 220x240 cm, Edredon Cama 135/150, Relleno Nórdico 200 gr/m² en 100% Microfibra (Blanco)",0,4.5,3199,"https://images-eu.ssl-images-amazon.com/images/I/61a8fdw3caL._AC_UL300_SR300,200_.jpg"
41,B0C7SBTGYZ,"Papel freidora aire PORTENTUM 100 unidades Food-Grade BPA free de 20-24 cm Papel Air Fryer Cuadrado, Para freidoras sin aceite de 5 a 8 litros - Ideal para Cocinar Saludablemente",0,4.4,895,"https://images-eu.ssl-images-amazon.com/images/I/7175weVbDIL._AC_UL300_SR300,200_.jpg"
42,B01E7GVE8E,"Blindecor Ara | Estor enrollable translúcido liso - Blanco Roto, 140 x 175 cm (ancho por alto) | Tamaño de la Tela 137 x 170 cm | Estores para ventanas",0,4.4,2732,"https://images-eu.ssl-images-amazon.com/images/I/61GSI-j2OiL._AC_UL300_SR300,200_.jpg"
